"filename", "language", "JSON", "Markdown", "YAML", "TypeScript", "JSON with Comments", "JavaScript", "TypeScript JSX", "CSS", "XML", "HTML", "comment", "blank", "total"
"f:\study\design\canvas\apps\jebet\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"f:\study\design\canvas\apps\jebet\tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 1, 1, 91
"f:\study\design\canvas\apps\jebet\tsconfig.app.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 29
"f:\study\design\canvas\apps\jebet\tsconfig.app.tsbuildinfo", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"f:\study\design\canvas\apps\jebet\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"f:\study\design\canvas\apps\jebet\tsconfig.node.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 24
"f:\study\design\canvas\apps\jebet\tsconfig.node.tsbuildinfo", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"f:\study\design\canvas\apps\jebet\vite.config.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"f:\study\design\canvas\apps\ljh-design\.eslintrc.json", "JSON with Comments", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"f:\study\design\canvas\apps\ljh-design\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 37
"f:\study\design\canvas\apps\ljh-design\api\hono.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 5
"f:\study\design\canvas\apps\ljh-design\api\supabase\Image\index.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 14, 1, 42
"f:\study\design\canvas\apps\ljh-design\api\supabase\board\index.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 4, 2, 11
"f:\study\design\canvas\apps\ljh-design\api\supabase\sign\index.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 1, 3, 34
"f:\study\design\canvas\apps\ljh-design\api\unsplash\index.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 2, 9
"f:\study\design\canvas\apps\ljh-design\api\useQuery\useQuery.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 2, 26
"f:\study\design\canvas\apps\ljh-design\app\(pages)\board\Edit\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"f:\study\design\canvas\apps\ljh-design\app\(pages)\board\Edit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 1, 30
"f:\study\design\canvas\apps\ljh-design\app\(pages)\board\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 3, 19
"f:\study\design\canvas\apps\ljh-design\app\(pages)\board\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 2, 21
"f:\study\design\canvas\apps\ljh-design\app\(pages)\board\sign-in\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 2, 21
"f:\study\design\canvas\apps\ljh-design\app\(pages)\board\sign-in\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 2, 32
"f:\study\design\canvas\apps\ljh-design\app\_provide\providers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"f:\study\design\canvas\apps\ljh-design\app\_provide\query-provide.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 14, 7, 51
"f:\study\design\canvas\apps\ljh-design\app\api\[[...route]]\image.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 3, 23
"f:\study\design\canvas\apps\ljh-design\app\api\[[...route]]\route.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"f:\study\design\canvas\apps\ljh-design\app\api\[[...route]]\user.ts", "TypeScript", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 1, 1, 52
"f:\study\design\canvas\apps\ljh-design\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 6, 89
"f:\study\design\canvas\apps\ljh-design\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 3, 20
"f:\study\design\canvas\apps\ljh-design\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"f:\study\design\canvas\apps\ljh-design\app\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"f:\study\design\canvas\apps\ljh-design\components.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"f:\study\design\canvas\apps\ljh-design\components\Board\BoardMain.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"f:\study\design\canvas\apps\ljh-design\components\Board\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"f:\study\design\canvas\apps\ljh-design\components\Board\SiderBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"f:\study\design\canvas\apps\ljh-design\components\Board\SiderBarItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 2, 36
"f:\study\design\canvas\apps\ljh-design\components\Board\SiderBarRoutes.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 3, 32
"f:\study\design\canvas\apps\ljh-design\components\Comand\Logo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"f:\study\design\canvas\apps\ljh-design\components\Comand\UserButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 3, 3, 37
