"filename", "language", "JSON", "Markdown", "XML", "YAML", "JSON with Comments", "JavaScript", "TypeScript", "CSS", "vue", "TypeScript JSX", "HTML", "comment", "blank", "total"
"f:\study\design\canvas\apps\api\src\types\note\workspace.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"f:\study\design\canvas\apps\api\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"f:\study\design\canvas\apps\api\vercel.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"f:\study\design\canvas\apps\api\vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"f:\study\design\canvas\apps\form\README.md", "Markdown", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 76
"f:\study\design\canvas\apps\form\nuxt.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 1, 6
"f:\study\design\canvas\apps\form\package.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"f:\study\design\canvas\apps\form\page\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"f:\study\design\canvas\apps\form\server\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"f:\study\design\canvas\apps\form\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"f:\study\design\canvas\apps\jebet\README.md", "Markdown", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 51
"f:\study\design\canvas\apps\jebet\components.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"f:\study\design\canvas\apps\jebet\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 2, 30
